"","Perturbation_1","Perturbation_2","Correlation"
"2","ACVR1B","ACE2",-0.775745769776494
"30","ADAM17","ACVR1B",0.96098285452895
"3","ADAM17","ACE2",-0.818112813604233
"31","ARID1A","ACVR1B",0.949726908203712
"58","ARID1A","ADAM17",0.839649471087265
"4","ARID1A","ACE2",-0.764003947504616
"32","ATRX","ACVR1B",-0.997935440300398
"59","ATRX","ADAM17",-0.975816591829792
"86","ATRX","ARID1A",-0.928232628779214
"5","ATRX","ACE2",0.778235311224313
"87","CABIN1","ARID1A",-0.432320104107675
"6","CABIN1","ACE2",0.133981251874378
"33","CABIN1","ACVR1B",-0.129503394580583
"60","CABIN1","ADAM17",0.118481828089098
"114","CABIN1","ATRX",0.066312440896205
"34","CTSL","ACVR1B",-0.74225683560863
"88","CTSL","ARID1A",-0.733896786516684
"115","CTSL","ATRX",0.724841482738007
"61","CTSL","ADAM17",-0.593030852437596
"142","CTSL","CABIN1",0.243251330434684
"7","CTSL","ACE2",0.169033221567887
"89","DPF2","ARID1A",0.993042046943339
"35","DPF2","ACVR1B",0.928109034809641
"116","DPF2","ATRX",-0.90231564900188
"170","DPF2","CTSL",-0.793247873799737
"62","DPF2","ADAM17",0.79276906193091
"8","DPF2","ACE2",-0.683782572815214
"143","DPF2","CABIN1",-0.481389169103233
"63","DPP4","ADAM17",-0.973257448698313
"117","DPP4","ATRX",0.964633402462751
"36","DPP4","ACVR1B",-0.959813599391932
"9","DPP4","ACE2",0.914482267099034
"90","DPP4","ARID1A",-0.898655568481762
"198","DPP4","DPF2",-0.846261467280466
"171","DPP4","CTSL",0.524375673557508
"144","DPP4","CABIN1",0.0602557733803163
"226","DYRK1A","DPP4",-0.990720317280295
"37","DYRK1A","ACVR1B",0.950123479699156
"118","DYRK1A","ATRX",-0.946882928384894
"64","DYRK1A","ADAM17",0.935576662965979
"91","DYRK1A","ARID1A",0.931531389943154
"10","DYRK1A","ACE2",-0.93118764642394
"199","DYRK1A","DPF2",0.883018837748972
"172","DYRK1A","CTSL",-0.516317313766218
"145","DYRK1A","CABIN1",-0.190110164806519
"11","JMJD6","ACE2",-0.771737100834198
"254","JMJD6","DYRK1A",0.611802393434945
"146","JMJD6","CABIN1",-0.600944038827909
"92","JMJD6","ARID1A",0.541068319794035
"227","JMJD6","DPP4",-0.518177215313593
"200","JMJD6","DPF2",0.485287118880462
"38","JMJD6","ACVR1B",0.365525574555764
"119","JMJD6","ATRX",-0.336712503642066
"65","JMJD6","ADAM17",0.31011671538685
"173","JMJD6","CTSL",0.132540658911393
"66","KDM6A","ADAM17",0.89726207913288
"228","KDM6A","DPP4",-0.895654287968108
"12","KDM6A","ACE2",-0.894617152855353
"255","KDM6A","DYRK1A",0.850200188138862
"120","KDM6A","ATRX",-0.792009552919349
"39","KDM6A","ACVR1B",0.762783917096605
"93","KDM6A","ARID1A",0.610798350874891
"201","KDM6A","DPF2",0.52100923179208
"282","KDM6A","JMJD6",0.42583752606081
"147","KDM6A","CABIN1",0.304788516784091
"174","KDM6A","CTSL",-0.177413656513103
"175","LOC103223006","CTSL",-0.98278187939325
"40","LOC103223006","ACVR1B",0.763070187115267
