"","perturbation","ranking","Score","off_target"
"1","ACE2",1,33.7450618040848,"none"
"2","PHF6",2,23.8022172747933,"none"
"3","ADAM17",3,20.8314005773507,"none"
"4","DYRK1A",4,19.9586003281382,"none"
"5","PHIP",5,19.2398915404598,"none"
"6","SMARCA5",6,18.9057634730939,"none"
"7","PCBD1",7,18.8941486064915,"none"
"8","ACVR1B",8,17.9702636332237,"none"
"9","TMX3",9,14.5843704499055,"none"
"10","SH3YL1",10,14.1341781764034,"none"
"11","SIAH1",11,12.8627835592649,"none"
"12","ATRX",12,11.5905749442105,"none"
"13","SMAD4",13,10.0526502873101,"none"
"14","DPP4",14,9.66876292996266,"none"
"15","RAD54L2",15,9.35114315914293,"none"
"16","UBXN7",16,8.97743816898236,"none"
"17","LOC103223006",17,8.95535518815083,"none"
"18","ARID1A",18,8.40319992863772,"none"
"19","CABIN1",19,7.77856746551807,"none"
"20","SMARCA4",20,7.18991028389613,"none"
"21","CTSL",21,6.41344057333263,"none"
"22","DPF2",22,5.62524828987209,"none"
"23","PIAS2",23,4.80886511486218,"none"
"24","SMAD3",24,3.97267624614951,"none"
"25","JMJD6",25,3.87869006131118,"none"
"26","PIAS1",26,3.58602614595252,"none"
"27","KDM6A",27,1.99825931193442,"none"
