"","Perturbation_1","Perturbation_2","Correlation"
"2","ACVR1B","ACE2",0.540794561430433
"34","ADAM17","ACVR1B",0.796170063894431
"3","ADAM17","ACE2",-0.0783430022065374
"4","ANPEP","ACE2",0.997449622252783
"35","ANPEP","ACVR1B",0.597459563815442
"66","ANPEP","ADAM17",-0.00951093224643281
"98","ARID1A","ANPEP",0.974249470738867
"5","ARID1A","ACE2",0.973417849092478
"36","ARID1A","ACVR1B",0.612378826191671
"67","ARID1A","ADAM17",0.0273952239820629
"130","ATRX","ARID1A",-0.960547246153484
"6","ATRX","ACE2",-0.874773358473092
"99","ATRX","ANPEP",-0.873112757892427
"37","ATRX","ACVR1B",-0.583683043011721
"68","ATRX","ADAM17",-0.0666090262662976
"7","CABIN1","ACE2",-0.948760961283027
"100","CABIN1","ANPEP",-0.924955199987689
"131","CABIN1","ARID1A",-0.887118645458766
"162","CABIN1","ATRX",0.778934799697855
"69","CABIN1","ADAM17",0.388855956512897
"38","CABIN1","ACVR1B",-0.247843169077231
"8","CTSL","ACE2",0.998353201037185
"101","CTSL","ANPEP",0.992179540333645
"132","CTSL","ARID1A",0.975421940215442
"194","CTSL","CABIN1",-0.959756854307766
"163","CTSL","ATRX",-0.885816064140168
"39","CTSL","ACVR1B",0.504289678038272
"70","CTSL","ADAM17",-0.12008568679146
"195","CTSL,PCBD1","CABIN1",-0.449742140485166
"71","CTSL,PCBD1","ADAM17",-0.37060190977087
"9","CTSL,PCBD1","ACE2",0.343048752706437
"102","CTSL,PCBD1","ANPEP",0.334894921087282
"226","CTSL,PCBD1","CTSL",0.322823711096559
"164","CTSL,PCBD1","ATRX",0.153102881242873
"133","CTSL,PCBD1","ARID1A",0.119769408382794
"40","CTSL,PCBD1","ACVR1B",-0.0980825047658878
"165","DOLK","ATRX",0.77573346296127
"196","DOLK","CABIN1",0.733225792312441
"134","DOLK","ARID1A",-0.690362821913351
"227","DOLK","CTSL",-0.671816247606807
"10","DOLK","ACE2",-0.628942895644705
"103","DOLK","ANPEP",-0.583449267677894
"72","DOLK","ADAM17",0.515422611171557
"258","DOLK","CTSL,PCBD1",0.165731111619215
"41","DOLK","ACVR1B",0.0577226165140934
"42","DPF2","ACVR1B",-0.903699394742678
"73","DPF2","ADAM17",-0.877520096532825
"166","DPF2","ATRX",0.51709791844497
"259","DPF2","CTSL,PCBD1",0.51003463683196
"135","DPF2","ARID1A",-0.42805139458534
"104","DPF2","ANPEP",-0.328226144304859
"11","DPF2","ACE2",-0.273159862726072
"228","DPF2","CTSL",-0.247934696247288
"290","DPF2","DOLK",-0.0416379206144642
"197","DPF2","CABIN1",-0.0312600818248395
"260","DPP4","CTSL,PCBD1",-0.938750305623196
"291","DPP4","DOLK",-0.437995010844177
"322","DPP4","DPF2",-0.279126246342786
"105","DPP4","ANPEP",-0.259966665983463
"198","DPP4","CABIN1",0.255886922734547
"12","DPP4","ACE2",-0.243915742892209
"167","DPP4","ATRX",-0.240762129735329
"229","DPP4","CTSL",-0.2065994902743
"43","DPP4","ACVR1B",-0.119610013097114
"74","DPP4","ADAM17",0.0421103580519267
"136","DPP4","ARID1A",-0.0371772705240808
"137","DYRK1A","ARID1A",0.990248479876293
"106","DYRK1A","ANPEP",0.970807681706845
"13","DYRK1A","ACE2",0.960071821828595
"230","DYRK1A","CTSL",0.954692160059057
