"","topic","perturbation","ranking"
"1","Topic1","DPF2",1
"2","Topic1","UBXN7",2
"3","Topic1","ATRX",3
"4","Topic1","SMARCA5",4
"5","Topic1","ADAM17",5
"6","Topic2","UBXN7",1
"7","Topic2","DPP4",2
"8","Topic2","CTSL,PCBD1",3
"9","Topic2","DOLK",4
"10","Topic2","SH3YL1",5
"11","Topic2","PIAS2",6
"12","Topic2","SMAD3",7
"13","Topic2","PIAS1",8
"14","Topic2","SMARCE1",9
"15","Topic2","KDM6A",10
"16","Topic2","SMARCA4",11
"17","Topic2","LOC103223006",12
"18","Topic2","DPF2",13
"19","Topic2","JMJD6",14
"20","Topic2","CABIN1",15
"21","Topic2","ARID1A",16
"22","Topic2","SIAH1",17
"23","Topic2","PHF6",18
"24","Topic2","ATRX",19
"25","Topic3","SMARCA5",1
"26","Topic3","DOLK",2
"27","Topic3","UBXN7",3
"28","Topic3","ATRX",4
"29","Topic3","PHF6",5
"30","Topic3","CABIN1",6
"31","Topic3","PIAS1",7
"32","Topic3","SMAD4",8
"33","Topic3","SMARCA4",9
"34","Topic3","SIAH1",10
"35","Topic3","PHIP",11
"36","Topic3","PCBD1",12
"37","Topic3","SMAD3",13
"38","Topic3","CTSL",14
"39","Topic3","LOC103223006",15
"40","Topic3","ACE2",16
"41","Topic3","ARID1A",17
"42","Topic3","ADAM17",18
"43","Topic3","SMARCE1",19
"44","Topic3","RAD54L2",20
"45","Topic3","ANPEP",21
"46","Topic3","DYRK1A",22
"47","Topic3","PIAS2",23
"48","Topic3","KDM6A",24
"49","Topic3","SH3YL1",25
"50","Topic3","ACVR1B",26
"51","Topic3","TMX3",27
"52","Topic3","JMJD6",28
"53","Topic3","DPP4",29
"54","Topic3","DPF2",30
"55","Topic3","CTSL,PCBD1",31
"56","Topic4","TMX3",1
"57","Topic4","JMJD6",2
"58","Topic4","PCBD1",3
"59","Topic4","ANPEP",4
"60","Topic4","PHIP",5
"61","Topic4","RAD54L2",6
"62","Topic4","PHF6",7
"63","Topic4","ACE2",8
"64","Topic4","DYRK1A",9
"65","Topic4","CTSL",10
"66","Topic4","ARID1A",11
"67","Topic4","KDM6A",12
"68","Topic4","SIAH1",13
"69","Topic4","ACVR1B",14
"70","Topic4","LOC103223006",15
"71","Topic4","SMARCA4",16
"72","Topic4","SMAD4",17
"73","Topic4","SMAD3",18
"74","Topic4","SMARCE1",19
"75","Topic4","SMARCA5",20
"76","Topic4","CABIN1",21
